card_id,card_name,card_brand,card_in_out,card_record,card_summary,card_image,card_section
37,Easy all 티타늄카드,KB국민카드,"국내전용 30,000원 해외겸용 30,000원",전월실적50만원 이상,"20개 영역 중선택형할인
택시10%할인
온라인쇼핑5%할인",https://api.card-gorilla.com:8080/storage/card/634/card_img/21400/634card.png,신용카드
38,신한카드 Deep Dream Platinum+,신한카드,"해외겸용 30,000원",전월실적없음,"모두드림최대 1.1%적립
더해드림최대 3.3%적립
챙겨드림최대 5.5%적립",https://api.card-gorilla.com:8080/storage/card/40/card_img/20121/40card.png,신용카드
39,NH올원 파이카드,NH농협카드,"국내전용10,000원 해외겸용 12,000원",전월실적30만원 이상,"온라인쇼핑7~20%할인
주유/통신/해외 등선택업종할인
생활영역5~20%할인",https://api.card-gorilla.com:8080/storage/card/181/card_img/20398/181card.png,신용카드
40,1Q Daily+,하나카드,"국내전용 10,000원 해외겸용 10,000원",전월실적30만원 이상,"국내가맹점0.3~1%적립
플러스적립5,000머니적립
SK주유소3,000원할인",https://api.card-gorilla.com:8080/storage/card/238/card_img/20465/238card.png,신용카드
41,신한카드 Hi-Point,신한카드,"해외겸용 8,000원",전월실적없음,"전국가맹점0.2~2.0%적립
특정가맹점1~5%적립
현대오일뱅크60원/L적립",https://api.card-gorilla.com:8080/storage/card/1/card_img/20083/1card.png,신용카드
42,American Express® Gold Card,현대카드,"해외겸용 300,000원",전월실적없음,"매년 연간스페셜3만MR적립(30만원 상당)
공항라운지/발레파킹무료이용
1,000원당 최대3MR적립",https://api.card-gorilla.com:8080/storage/card/2281/card_img/20685/2281card.png,신용카드
43,the Red Edition5,현대카드,"국내전용 300,000원 해외겸용 300,000원",전월실적50만원 이상,"바우처 최대20만원제공
공항라운지무료이용
M포인트 최대2%적립",https://api.card-gorilla.com:8080/storage/card/2259/card_img/27662/2259card.png,신용카드
44,삼성 iD ON 카드,삼성카드,"국내전용 20,000원 해외겸용 20,000원",전월실적30만원 이상,"많이쓰는 영역 자동맞춤30%할인
교통/이동통신/스트리밍10%할인
온라인간편결제/해외3%·1%할인",https://api.card-gorilla.com:8080/storage/card/2235/card_img/28314/2235card.png,신용카드
45,하나 CLUB H 아메리칸 익스프레스 리저브 카드,하나카드,"해외겸용 150,000원",전월실적50만원 이상,"국내 1,000원당1마일리지적립
해외 1,000원당2마일리지적립
인천공항 라운지무료입장",https://api.card-gorilla.com:8080/storage/card/2406/card_img/26473/2406card.png,신용카드
46,대한항공카드 030,현대카드,"국내전용 30,000원 해외겸용 30,000원",전월실적없음,"국내외가맹점1마일리지적립
특정업종2마일리지적립
웰컴보너스3천마일리지적립",https://api.card-gorilla.com:8080/storage/card/600/card_img/21367/600card.png,신용카드
